Subcategory,Skin_Tone_RGB,Clothing_Recommendations
Cool,"(255, 230, 230)","Bold outfits in colors like RGB (230, 255, 255). Harmonious styles with colors like RGB (255, 242, 230) and RGB (255, 230, 242). Neutrals or monochromatic variations of RGB (255, 230, 230) for daily wear."
Neutral,"(240, 240, 220)","Bold outfits in colors like RGB (220, 220, 240). Harmonious styles with colors like RGB (230, 240, 220) and RGB (240, 230, 220). Neutrals or monochromatic variations of RGB (240, 240, 220) for daily wear."
Warm,"(255, 245, 200)","Bold outfits in colors like RGB (200, 210, 255). Harmonious styles with colors like RGB (237, 255, 200) and RGB (255, 217, 200). Neutrals or monochromatic variations of RGB (255, 245, 200) for daily wear."
Peach Ivory,"(255, 235, 220)","Bold outfits in colors like RGB (220, 240, 255). Harmonious styles with colors like RGB (255, 252, 220) and RGB (255, 220, 222). Neutrals or monochromatic variations of RGB (255, 235, 220) for daily wear."
Platinum,"(245, 245, 240)","Bold outfits in colors like RGB (240, 240, 245). Harmonious styles with colors like RGB (242, 245, 240) and RGB (245, 242, 240). Neutrals or monochromatic variations of RGB (245, 245, 240) for daily wear."
Cool,"(245, 210, 210)","Bold outfits in colors like RGB (210, 245, 245). Harmonious styles with colors like RGB (245, 227, 210) and RGB (245, 210, 227). Neutrals or monochromatic variations of RGB (245, 210, 210) for daily wear."
Neutral,"(230, 220, 200)","Bold outfits in colors like RGB (200, 210, 230). Harmonious styles with colors like RGB (225, 230, 200) and RGB (230, 205, 200). Neutrals or monochromatic variations of RGB (230, 220, 200) for daily wear."
Warm,"(255, 220, 180)","Bold outfits in colors like RGB (180, 215, 255). Harmonious styles with colors like RGB (252, 255, 180) and RGB (255, 182, 180). Neutrals or monochromatic variations of RGB (255, 220, 180) for daily wear."
Sunlit Beige,"(245, 215, 180)","Bold outfits in colors like RGB (180, 210, 245). Harmonious styles with colors like RGB (242, 245, 180) and RGB (245, 182, 180). Neutrals or monochromatic variations of RGB (245, 215, 180) for daily wear."
Pink Champagne,"(250, 220, 200)","Bold outfits in colors like RGB (200, 229, 250). Harmonious styles with colors like RGB (250, 244, 200) and RGB (250, 200, 204). Neutrals or monochromatic variations of RGB (250, 220, 200) for daily wear."
Cool,"(220, 180, 170)","Bold outfits in colors like RGB (170, 209, 220). Harmonious styles with colors like RGB (220, 204, 170) and RGB (220, 170, 184). Neutrals or monochromatic variations of RGB (220, 180, 170) for daily wear."
Neutral,"(210, 190, 160)","Bold outfits in colors like RGB (159, 179, 210). Harmonious styles with colors like RGB (205, 210, 159) and RGB (210, 165, 159). Neutrals or monochromatic variations of RGB (210, 190, 160) for daily wear."
Warm,"(240, 200, 150)","Bold outfits in colors like RGB (150, 190, 240). Harmonious styles with colors like RGB (235, 240, 150) and RGB (240, 155, 150). Neutrals or monochromatic variations of RGB (240, 200, 150) for daily wear."
Desert Sand,"(230, 190, 170)","Bold outfits in colors like RGB (170, 210, 230). Harmonious styles with colors like RGB (230, 219, 170) and RGB (230, 170, 179). Neutrals or monochromatic variations of RGB (230, 190, 170) for daily wear."
Honey Beige,"(220, 190, 160)","Bold outfits in colors like RGB (160, 190, 220). Harmonious styles with colors like RGB (220, 219, 160) and RGB (220, 160, 160). Neutrals or monochromatic variations of RGB (220, 190, 160) for daily wear."
Cool,"(200, 160, 150)","Bold outfits in colors like RGB (150, 189, 200). Harmonious styles with colors like RGB (200, 184, 150) and RGB (200, 150, 164). Neutrals or monochromatic variations of RGB (200, 160, 150) for daily wear."
Neutral,"(190, 150, 130)","Bold outfits in colors like RGB (130, 170, 190). Harmonious styles with colors like RGB (190, 179, 130) and RGB (190, 130, 139). Neutrals or monochromatic variations of RGB (190, 150, 130) for daily wear."
Warm,"(210, 160, 110)","Bold outfits in colors like RGB (110, 159, 210). Harmonious styles with colors like RGB (210, 209, 110) and RGB (210, 110, 110). Neutrals or monochromatic variations of RGB (210, 160, 110) for daily wear."
Copper Beige,"(200, 140, 110)","Bold outfits in colors like RGB (110, 170, 200). Harmonious styles with colors like RGB (200, 184, 110) and RGB (200, 110, 124). Neutrals or monochromatic variations of RGB (200, 140, 110) for daily wear."
Terra-Cotta,"(190, 120, 100)","Bold outfits in colors like RGB (100, 170, 190). Harmonious styles with colors like RGB (190, 164, 100) and RGB (190, 100, 124). Neutrals or monochromatic variations of RGB (190, 120, 100) for daily wear."
Cool,"(170, 120, 110)","Bold outfits in colors like RGB (110, 159, 170). Harmonious styles with colors like RGB (170, 149, 110) and RGB (170, 110, 129). Neutrals or monochromatic variations of RGB (170, 120, 110) for daily wear."
Neutral,"(160, 120, 100)","Bold outfits in colors like RGB (100, 140, 160). Harmonious styles with colors like RGB (160, 149, 100) and RGB (160, 100, 109). Neutrals or monochromatic variations of RGB (160, 120, 100) for daily wear."
Warm,"(180, 140, 90)","Bold outfits in colors like RGB (90, 130, 180). Harmonious styles with colors like RGB (175, 180, 90) and RGB (180, 95, 90). Neutrals or monochromatic variations of RGB (180, 140, 90) for daily wear."
Golden Mahogany,"(160, 110, 80)","Bold outfits in colors like RGB (80, 130, 160). Harmonious styles with colors like RGB (160, 149, 80) and RGB (160, 80, 89). Neutrals or monochromatic variations of RGB (160, 110, 80) for daily wear."
Deep Honey,"(170, 100, 80)","Bold outfits in colors like RGB (80, 149, 170). Harmonious styles with colors like RGB (170, 144, 80) and RGB (170, 80, 104). Neutrals or monochromatic variations of RGB (170, 100, 80) for daily wear."
Cool,"(140, 100, 90)","Bold outfits in colors like RGB (90, 130, 140). Harmonious styles with colors like RGB (140, 124, 90) and RGB (140, 90, 104). Neutrals or monochromatic variations of RGB (140, 100, 90) for daily wear."
Neutral,"(130, 90, 80)","Bold outfits in colors like RGB (80, 119, 130). Harmonious styles with colors like RGB (130, 114, 80) and RGB (130, 80, 94). Neutrals or monochromatic variations of RGB (130, 90, 80) for daily wear."
Warm,"(150, 110, 70)","Bold outfits in colors like RGB (70, 110, 150). Harmonious styles with colors like RGB (150, 149, 70) and RGB (150, 70, 70). Neutrals or monochromatic variations of RGB (150, 110, 70) for daily wear."
Golden Olive,"(140, 110, 70)","Bold outfits in colors like RGB (70, 100, 140). Harmonious styles with colors like RGB (135, 140, 70) and RGB (140, 75, 70). Neutrals or monochromatic variations of RGB (140, 110, 70) for daily wear."
Cool Olive,"(120, 90, 70)","Bold outfits in colors like RGB (70, 100, 120). Harmonious styles with colors like RGB (120, 114, 70) and RGB (120, 70, 74). Neutrals or monochromatic variations of RGB (120, 90, 70) for daily wear."
Cool,"(100, 60, 50)","Bold outfits in colors like RGB (50, 89, 100). Harmonious styles with colors like RGB (100, 84, 50) and RGB (100, 50, 64). Neutrals or monochromatic variations of RGB (100, 60, 50) for daily wear."
Neutral,"(90, 50, 40)","Bold outfits in colors like RGB (40, 80, 90). Harmonious styles with colors like RGB (90, 74, 40) and RGB (90, 40, 54). Neutrals or monochromatic variations of RGB (90, 50, 40) for daily wear."
Warm,"(110, 70, 50)","Bold outfits in colors like RGB (49, 89, 110). Harmonious styles with colors like RGB (110, 99, 49) and RGB (110, 49, 59). Neutrals or monochromatic variations of RGB (110, 70, 50) for daily wear."
Warm Sienna,"(120, 70, 60)","Bold outfits in colors like RGB (60, 109, 120). Harmonious styles with colors like RGB (120, 99, 60) and RGB (120, 60, 79). Neutrals or monochromatic variations of RGB (120, 70, 60) for daily wear."
