category,Subcategory,Characteristics,Examples,Regions,"Approx. RGB (R,G,B)"
Very Light (I),Cool,"Pinkish undertones, minimal melanin","Porcelain, Alabaster","Northern Europe, Scandinavia","(255, 230, 230)"
,Neutral,Balanced undertones (pink and yellow mix),"Ivory, Snow White",Northern Europe,"(240, 240, 220)"
,Warm,Slight yellow/golden undertones,"Cream, Warm Ivory","Northern Europe, Eastern Europe","(255, 245, 200)"
,Peach Ivory,Fair skin with peachy undertones,"Blush Beige, Rosy Pearl","Northern Europe, East Asia","(255, 235, 220)"
,Platinum,Ultra-pale skin tones with almost no warmth,"Frosted Ivory, Cool Mist","Scandinavia, Russia","(245, 245, 240)"
Light (II),Cool,"Fair skin with pink undertones, burns easily","Light Rose, Fair Beige","Europe, North America","(245, 210, 210)"
,Neutral,Beige tones with a balance of pink and yellow,"Light Neutral Beige, Buff","Europe, North America, Australia","(230, 220, 200)"
,Warm,Golden or peach undertones,"Golden Beige, Light Peach","Southern Europe, Mediterranean","(255, 220, 180)"
,Sunlit Beige,Light skin with subtle golden undertones,"Light Amber, Sunny Buff","Western Europe, North America","(245, 215, 180)"
,Pink Champagne,Pale tones with a mix of pink and golden hues,"Rosy Buff, Soft Peach","Western Europe, Australia","(250, 220, 200)"
Medium-Light (IIa),Cool,Slightly tanned with cool pink undertones,"Light Sand, Cool Sand","Mediterranean, Middle East","(220, 180, 170)"
,Neutral,Light beige with balanced undertones,"Sand, Pale Olive","Mediterranean, Middle East","(210, 190, 160)"
,Warm,Peach or golden beige undertones,"Light Golden Sand, Warm Peach","Mediterranean, South America","(240, 200, 150)"
,Desert Sand,Light tan with a sandy hue,"Sandstone Beige, Golden Taupe","Mediterranean, Latin America","(230, 190, 170)"
,Honey Beige,Medium tones with golden undertones,"Warm Taupe, Light Honey","Middle East, South Asia","(220, 190, 160)"
Medium (III),Cool,Tan skin with pink undertones,"Tan Rose, Deep Beige","Southern Europe, East Asia","(200, 160, 150)"
,Neutral,Tan with balanced undertones,"Medium Beige, Olive Neutral","Middle East, South America","(190, 150, 130)"
,Warm,Tan with golden undertones,"Golden Tan, Warm Honey","Southern Europe, Latin America","(210, 160, 110)"
,Copper Beige,Tan skin with coppery or bronze undertones,"Warm Bronze, Deep Caramel","South America, Africa","(200, 140, 110)"
,Terra-Cotta,Reddish-brown undertones in tan skin,"Burnt Sienna, Warm Terracotta","Middle East, South Asia","(190, 120, 100)"
Medium-Deep (IIIa),Cool,Olive tones with pink or blue undertones,"Deep Olive, Cool Bronze","Mediterranean, South Asia","(170, 120, 110)"
,Neutral,Olive tones with balanced undertones,"Neutral Bronze, Deep Sand","Latin America, North Africa","(160, 120, 100)"
,Warm,Olive tones with golden undertones,"Golden Olive, Deep Honey","Middle East, South Asia","(180, 140, 90)"
,Golden Mahogany,Deep golden brown tones,"Warm Ochre, Chestnut Bronze","South Asia, Middle East","(160, 110, 80)"
,Deep Honey,Rich brown with honey undertones,"Rich Golden, Amber Bronze","Africa, Caribbean","(170, 100, 80)"
Olive (IV),Cool,Deep olive with bluish undertones,"Cool Caramel, Dusky Rose","South Asia, Mediterranean","(140, 100, 90)"
,Neutral,Olive brown with balanced undertones,"Deep Tan, Bronze Neutral","South Asia, North Africa","(130, 90, 80)"
,Warm,Golden olive tones,"Warm Caramel, Golden Bronze","South Asia, Middle East","(150, 110, 70)"
,Golden Olive,Olive skin with a yellow-gold undertone,"Warm Olive, Deep Ochre","South Asia, Mediterranean","(140, 110, 70)"
,Cool Olive,Olive skin with a greenish or bluish undertone,"Dusky Green, Olive Bronze","Middle East, North Africa","(120, 90, 70)"
Dark (V),Cool,Rich brown with cool undertones (blue/red),"Cool Espresso, Deep Mahogany","Africa, Caribbean","(100, 60, 50)"
,Neutral,Deep brown with balanced undertones,"Neutral Walnut, Cocoa","Africa, South Asia","(90, 50, 40)"
,Warm,Deep brown with golden or reddish undertones,"Warm Chestnut, Golden Mocha","Africa, South America","(110, 70, 50)"
,Warm Sienna,Rich brown tones with reddish undertones,"Deep Auburn, Warm Cinnamon","Africa, South America","(120, 70, 60)"
,Espresso Brown,Dark brown tones with warm undertones,"Dark Mocha, Rich Espresso","Africa, Caribbean","(90, 50, 40)"
