Subcategory,Skin_Tone_RGB,Makeup_Recommendations
Cool,"(255, 230, 230)","Foundation shades matching RGB (255, 230, 230) for a seamless base. Blush and lip colors in analogous shades like RGB (255, 242, 230) and RGB (255, 230, 242). Eyeshadow palettes with triadic tones like RGB (230, 255, 230) and RGB (230, 230, 255). Lipstick or blush in complementary shade RGB (230, 255, 255) for bold looks."
Neutral,"(240, 240, 220)","Foundation shades matching RGB (240, 240, 220) for a seamless base. Blush and lip colors in analogous shades like RGB (230, 240, 220) and RGB (240, 230, 220). Eyeshadow palettes with triadic tones like RGB (220, 240, 239) and RGB (240, 220, 239). Lipstick or blush in complementary shade RGB (220, 220, 240) for bold looks."
Warm,"(255, 245, 200)","Foundation shades matching RGB (255, 245, 200) for a seamless base. Blush and lip colors in analogous shades like RGB (237, 255, 200) and RGB (255, 217, 200). Eyeshadow palettes with triadic tones like RGB (200, 255, 244) and RGB (245, 200, 255). Lipstick or blush in complementary shade RGB (200, 210, 255) for bold looks."
Peach Ivory,"(255, 235, 220)","Foundation shades matching RGB (255, 235, 220) for a seamless base. Blush and lip colors in analogous shades like RGB (255, 252, 220) and RGB (255, 220, 222). Eyeshadow palettes with triadic tones like RGB (220, 255, 234) and RGB (235, 220, 255). Lipstick or blush in complementary shade RGB (220, 240, 255) for bold looks."
Platinum,"(245, 245, 240)","Foundation shades matching RGB (245, 245, 240) for a seamless base. Blush and lip colors in analogous shades like RGB (242, 245, 240) and RGB (245, 242, 240). Eyeshadow palettes with triadic tones like RGB (240, 245, 244) and RGB (245, 240, 244). Lipstick or blush in complementary shade RGB (240, 240, 245) for bold looks."
Cool,"(245, 210, 210)","Foundation shades matching RGB (245, 210, 210) for a seamless base. Blush and lip colors in analogous shades like RGB (245, 227, 210) and RGB (245, 210, 227). Eyeshadow palettes with triadic tones like RGB (210, 245, 210) and RGB (210, 210, 245). Lipstick or blush in complementary shade RGB (210, 245, 245) for bold looks."
Neutral,"(230, 220, 200)","Foundation shades matching RGB (230, 220, 200) for a seamless base. Blush and lip colors in analogous shades like RGB (225, 230, 200) and RGB (230, 205, 200). Eyeshadow palettes with triadic tones like RGB (200, 230, 219) and RGB (220, 200, 230). Lipstick or blush in complementary shade RGB (200, 210, 230) for bold looks."
Warm,"(255, 220, 180)","Foundation shades matching RGB (255, 220, 180) for a seamless base. Blush and lip colors in analogous shades like RGB (252, 255, 180) and RGB (255, 182, 180). Eyeshadow palettes with triadic tones like RGB (180, 255, 219) and RGB (220, 180, 255). Lipstick or blush in complementary shade RGB (180, 215, 255) for bold looks."
Sunlit Beige,"(245, 215, 180)","Foundation shades matching RGB (245, 215, 180) for a seamless base. Blush and lip colors in analogous shades like RGB (242, 245, 180) and RGB (245, 182, 180). Eyeshadow palettes with triadic tones like RGB (180, 245, 214) and RGB (215, 180, 245). Lipstick or blush in complementary shade RGB (180, 210, 245) for bold looks."
Pink Champagne,"(250, 220, 200)","Foundation shades matching RGB (250, 220, 200) for a seamless base. Blush and lip colors in analogous shades like RGB (250, 244, 200) and RGB (250, 200, 204). Eyeshadow palettes with triadic tones like RGB (200, 250, 219) and RGB (220, 200, 250). Lipstick or blush in complementary shade RGB (200, 229, 250) for bold looks."
Cool,"(220, 180, 170)","Foundation shades matching RGB (220, 180, 170) for a seamless base. Blush and lip colors in analogous shades like RGB (220, 204, 170) and RGB (220, 170, 184). Eyeshadow palettes with triadic tones like RGB (170, 220, 179) and RGB (180, 170, 220). Lipstick or blush in complementary shade RGB (170, 209, 220) for bold looks."
