category,Subcategory,Characteristics,Examples,Regions,"Approx. RGB (R,G,B)",RGB_Tuple,Complementary_RGB,Analogous_RGB,Triadic_RGB
Very Light (I),Cool,"Pinkish undertones, minimal melanin","Porcelain, Alabaster","Northern Europe, Scandinavia","(255, 230, 230)","(255, 230, 230)","(230, 255, 255)","(255, 242, 230), (255, 230, 242)","(230, 255, 230), (230, 230, 255)"
,Neutral,Balanced undertones (pink and yellow mix),"Ivory, Snow White",Northern Europe,"(240, 240, 220)","(240, 240, 220)","(220, 220, 240)","(230, 240, 220), (240, 230, 220)","(220, 240, 239), (240, 220, 239)"
,Warm,Slight yellow/golden undertones,"Cream, Warm Ivory","Northern Europe, Eastern Europe","(255, 245, 200)","(255, 245, 200)","(200, 210, 255)","(237, 255, 200), (255, 217, 200)","(200, 255, 244), (245, 200, 255)"
,Peach Ivory,Fair skin with peachy undertones,"Blush Beige, Rosy Pearl","Northern Europe, East Asia","(255, 235, 220)","(255, 235, 220)","(220, 240, 255)","(255, 252, 220), (255, 220, 222)","(220, 255, 234), (235, 220, 255)"
,Platinum,Ultra-pale skin tones with almost no warmth,"Frosted Ivory, Cool Mist","Scandinavia, Russia","(245, 245, 240)","(245, 245, 240)","(240, 240, 245)","(242, 245, 240), (245, 242, 240)","(240, 245, 244), (245, 240, 244)"
Light (II),Cool,"Fair skin with pink undertones, burns easily","Light Rose, Fair Beige","Europe, North America","(245, 210, 210)","(245, 210, 210)","(210, 245, 245)","(245, 227, 210), (245, 210, 227)","(210, 245, 210), (210, 210, 245)"
,Neutral,Beige tones with a balance of pink and yellow,"Light Neutral Beige, Buff","Europe, North America, Australia","(230, 220, 200)","(230, 220, 200)","(200, 210, 230)","(225, 230, 200), (230, 205, 200)","(200, 230, 219), (220, 200, 230)"
,Warm,Golden or peach undertones,"Golden Beige, Light Peach","Southern Europe, Mediterranean","(255, 220, 180)","(255, 220, 180)","(180, 215, 255)","(252, 255, 180), (255, 182, 180)","(180, 255, 219), (220, 180, 255)"
,Sunlit Beige,Light skin with subtle golden undertones,"Light Amber, Sunny Buff","Western Europe, North America","(245, 215, 180)","(245, 215, 180)","(180, 210, 245)","(242, 245, 180), (245, 182, 180)","(180, 245, 214), (215, 180, 245)"
,Pink Champagne,Pale tones with a mix of pink and golden hues,"Rosy Buff, Soft Peach","Western Europe, Australia","(250, 220, 200)","(250, 220, 200)","(200, 229, 250)","(250, 244, 200), (250, 200, 204)","(200, 250, 219), (220, 200, 250)"
Medium-Light (IIa),Cool,Slightly tanned with cool pink undertones,"Light Sand, Cool Sand","Mediterranean, Middle East","(220, 180, 170)","(220, 180, 170)","(170, 209, 220)","(220, 204, 170), (220, 170, 184)","(170, 220, 179), (180, 170, 220)"
,Neutral,Light beige with balanced undertones,"Sand, Pale Olive","Mediterranean, Middle East","(210, 190, 160)","(210, 190, 160)","(159, 179, 210)","(205, 210, 159), (210, 165, 159)","(159, 210, 189), (190, 159, 210)"
,Warm,Peach or golden beige undertones,"Light Golden Sand, Warm Peach","Mediterranean, South America","(240, 200, 150)","(240, 200, 150)","(150, 190, 240)","(235, 240, 150), (240, 155, 150)","(150, 240, 199), (200, 150, 240)"
,Desert Sand,Light tan with a sandy hue,"Sandstone Beige, Golden Taupe","Mediterranean, Latin America","(230, 190, 170)","(230, 190, 170)","(170, 210, 230)","(230, 219, 170), (230, 170, 179)","(170, 230, 189), (190, 170, 230)"
,Honey Beige,Medium tones with golden undertones,"Warm Taupe, Light Honey","Middle East, South Asia","(220, 190, 160)","(220, 190, 160)","(160, 190, 220)","(220, 219, 160), (220, 160, 160)","(160, 220, 189), (190, 160, 220)"
Medium (III),Cool,Tan skin with pink undertones,"Tan Rose, Deep Beige","Southern Europe, East Asia","(200, 160, 150)","(200, 160, 150)","(150, 189, 200)","(200, 184, 150), (200, 150, 164)","(150, 200, 159), (160, 150, 200)"
,Neutral,Tan with balanced undertones,"Medium Beige, Olive Neutral","Middle East, South America","(190, 150, 130)","(190, 150, 130)","(130, 170, 190)","(190, 179, 130), (190, 130, 139)","(130, 190, 149), (150, 130, 190)"
,Warm,Tan with golden undertones,"Golden Tan, Warm Honey","Southern Europe, Latin America","(210, 160, 110)","(210, 160, 110)","(110, 159, 210)","(210, 209, 110), (210, 110, 110)","(110, 210, 159), (160, 110, 210)"
,Copper Beige,Tan skin with coppery or bronze undertones,"Warm Bronze, Deep Caramel","South America, Africa","(200, 140, 110)","(200, 140, 110)","(110, 170, 200)","(200, 184, 110), (200, 110, 124)","(110, 200, 139), (140, 110, 200)"
,Terra-Cotta,Reddish-brown undertones in tan skin,"Burnt Sienna, Warm Terracotta","Middle East, South Asia","(190, 120, 100)","(190, 120, 100)","(100, 170, 190)","(190, 164, 100), (190, 100, 124)","(100, 190, 119), (120, 100, 190)"
Medium-Deep (IIIa),Cool,Olive tones with pink or blue undertones,"Deep Olive, Cool Bronze","Mediterranean, South Asia","(170, 120, 110)","(170, 120, 110)","(110, 159, 170)","(170, 149, 110), (170, 110, 129)","(110, 170, 119), (120, 110, 170)"
,Neutral,Olive tones with balanced undertones,"Neutral Bronze, Deep Sand","Latin America, North Africa","(160, 120, 100)","(160, 120, 100)","(100, 140, 160)","(160, 149, 100), (160, 100, 109)","(100, 160, 119), (120, 100, 160)"
,Warm,Olive tones with golden undertones,"Golden Olive, Deep Honey","Middle East, South Asia","(180, 140, 90)","(180, 140, 90)","(90, 130, 180)","(175, 180, 90), (180, 95, 90)","(90, 180, 139), (140, 90, 180)"
,Golden Mahogany,Deep golden brown tones,"Warm Ochre, Chestnut Bronze","South Asia, Middle East","(160, 110, 80)","(160, 110, 80)","(80, 130, 160)","(160, 149, 80), (160, 80, 89)","(80, 160, 109), (110, 80, 160)"
,Deep Honey,Rich brown with honey undertones,"Rich Golden, Amber Bronze","Africa, Caribbean","(170, 100, 80)","(170, 100, 80)","(80, 149, 170)","(170, 144, 80), (170, 80, 104)","(80, 170, 99), (100, 80, 170)"
Olive (IV),Cool,Deep olive with bluish undertones,"Cool Caramel, Dusky Rose","South Asia, Mediterranean","(140, 100, 90)","(140, 100, 90)","(90, 130, 140)","(140, 124, 90), (140, 90, 104)","(90, 140, 99), (100, 90, 140)"
,Neutral,Olive brown with balanced undertones,"Deep Tan, Bronze Neutral","South Asia, North Africa","(130, 90, 80)","(130, 90, 80)","(80, 119, 130)","(130, 114, 80), (130, 80, 94)","(80, 130, 89), (90, 80, 130)"
,Warm,Golden olive tones,"Warm Caramel, Golden Bronze","South Asia, Middle East","(150, 110, 70)","(150, 110, 70)","(70, 110, 150)","(150, 149, 70), (150, 70, 70)","(70, 150, 109), (110, 70, 150)"
,Golden Olive,Olive skin with a yellow-gold undertone,"Warm Olive, Deep Ochre","South Asia, Mediterranean","(140, 110, 70)","(140, 110, 70)","(70, 100, 140)","(135, 140, 70), (140, 75, 70)","(70, 140, 109), (110, 70, 140)"
,Cool Olive,Olive skin with a greenish or bluish undertone,"Dusky Green, Olive Bronze","Middle East, North Africa","(120, 90, 70)","(120, 90, 70)","(70, 100, 120)","(120, 114, 70), (120, 70, 74)","(70, 120, 89), (90, 70, 120)"
Dark (V),Cool,Rich brown with cool undertones (blue/red),"Cool Espresso, Deep Mahogany","Africa, Caribbean","(100, 60, 50)","(100, 60, 50)","(50, 89, 100)","(100, 84, 50), (100, 50, 64)","(50, 100, 59), (60, 50, 100)"
,Neutral,Deep brown with balanced undertones,"Neutral Walnut, Cocoa","Africa, South Asia","(90, 50, 40)","(90, 50, 40)","(40, 80, 90)","(90, 74, 40), (90, 40, 54)","(40, 90, 49), (50, 40, 90)"
,Warm,Deep brown with golden or reddish undertones,"Warm Chestnut, Golden Mocha","Africa, South America","(110, 70, 50)","(110, 70, 50)","(49, 89, 110)","(110, 99, 49), (110, 49, 59)","(49, 110, 69), (70, 49, 110)"
,Warm Sienna,Rich brown tones with reddish undertones,"Deep Auburn, Warm Cinnamon","Africa, South America","(120, 70, 60)","(120, 70, 60)","(60, 109, 120)","(120, 99, 60), (120, 60, 79)","(60, 120, 69), (70, 60, 120)"
,Espresso Brown,Dark brown tones with warm undertones,"Dark Mocha, Rich Espresso","Africa, Caribbean","(90, 50, 40)","(90, 50, 40)","(40, 80, 90)","(90, 74, 40), (90, 40, 54)","(40, 90, 49), (50, 40, 90)"
Dark-Deep (Va),Cool,Very dark brown with bluish undertones,"Deep Ebony, Cool Onyx","Africa, South Asia","(70, 40, 40)","(70, 40, 40)","(40, 70, 70)","(70, 54, 40), (70, 40, 54)","(40, 70, 40), (40, 40, 70)"
,Neutral,Very dark brown with neutral undertones,"Neutral Ebony, Deep Cocoa","Africa, Caribbean","(60, 30, 30)","(60, 30, 30)","(30, 60, 60)","(60, 44, 30), (60, 30, 44)","(30, 60, 30), (30, 30, 60)"
,Warm,Very dark brown with golden undertones,"Golden Ebony, Warm Espresso","Africa, South America","(80, 50, 40)","(80, 50, 40)","(40, 70, 80)","(80, 69, 40), (80, 40, 49)","(40, 80, 49), (50, 40, 80)"
,Deep Mahogany,Very dark brown with reddish or golden hues,"Red Ebony, Warm Walnut","Africa, Papua New Guinea","(80, 40, 40)","(80, 40, 40)","(40, 80, 80)","(80, 59, 40), (80, 40, 59)","(40, 80, 40), (40, 40, 80)"
,Burnt Umber,Dark brown with a neutral reddish hue,"Cocoa Bean, Sable Brown","Africa, South America","(70, 30, 30)","(70, 30, 30)","(29, 70, 70)","(70, 49, 29), (70, 29, 49)","(30, 70, 29), (30, 29, 70)"
Very Dark (VI),Cool,Extremely dark with bluish undertones,"Deep Indigo, Cool Sable","Africa, Australia","(50, 30, 30)","(50, 30, 30)","(30, 50, 50)","(50, 39, 30), (50, 30, 39)","(30, 50, 30), (30, 30, 50)"
,Neutral,Deep tones with neutral balance,"Midnight Cocoa, Charcoal Brown","Africa, Caribbean","(40, 20, 20)","(40, 20, 20)","(20, 40, 40)","(40, 29, 20), (40, 20, 29)","(20, 40, 20), (20, 20, 40)"
,Warm,Extremely dark with golden or reddish undertones,"Warm Mahogany, Deep Amber","Africa, South America","(60, 40, 30)","(60, 40, 30)","(30, 49, 60)","(60, 54, 30), (60, 30, 34)","(30, 60, 39), (40, 30, 60)"
,Velvet Ebony,Black-brown tones with neutral undertones,"Charcoal Black, Dark Earth","Africa, Caribbean","(50, 30, 20)","(50, 30, 20)","(20, 40, 50)","(50, 44, 20), (50, 20, 24)","(20, 50, 29), (30, 20, 50)"
,Obsidian,Jet-black tones with a subtle cool sheen,"Onyx Black, Midnight Black","Africa, Oceania","(40, 20, 20)","(40, 20, 20)","(20, 40, 40)","(40, 29, 20), (40, 20, 29)","(20, 40, 20), (20, 20, 40)"
Ultra Dark (VII),Cool,Near-black tones with a subtle blue tint,"Blue-Black, Cool Onyx","Africa, Oceania","(30, 20, 20)","(30, 20, 20)","(20, 30, 30)","(30, 24, 20), (30, 20, 24)","(20, 30, 20), (20, 20, 30)"
,Neutral,Extremely dark with balanced undertones,"Charcoal Neutral, Deep Earth","Africa, Papua New Guinea","(20, 10, 10)","(20, 10, 10)","(10, 20, 20)","(20, 14, 10), (20, 10, 14)","(10, 20, 10), (10, 10, 20)"
,Warm,Darkest tones with a warm golden shimmer,"Rich Ebony, Warm Coal","Africa, Amazonian Regions","(40, 20, 10)","(40, 20, 10)","(10, 29, 40)","(40, 34, 10), (40, 10, 14)","(10, 40, 19), (20, 10, 40)"
,Deep Jet,Near-black tones with a bluish tint,"Blue Obsidian, Cool Onyx","Africa, Papua New Guinea","(30, 10, 20)","(30, 10, 20)","(10, 30, 19)","(30, 10, 10), (30, 10, 29)","(20, 30, 10), (10, 19, 30)"
,Shadow Black,Neutral black tones with minimal undertones,"Shadow Ebony, Deep Charcoal","Africa, Amazonian Regions","(20, 10, 10)","(20, 10, 10)","(10, 20, 20)","(20, 14, 10), (20, 10, 14)","(10, 20, 10), (10, 10, 20)"
Mixed Tones,Golden Tan with Pink,Golden base with pink overtones,"Rosy Tan, Sunset Beige","Latin America, Mediterranean","(240, 180, 150)","(240, 180, 150)","(150, 210, 240)","(240, 224, 150), (240, 150, 164)","(150, 240, 179), (180, 150, 240)"
,Deep Olive with Red,Olive base with subtle reddish undertones,"Warm Russet, Dusky Copper","Middle East, North Africa","(180, 100, 90)","(180, 100, 90)","(90, 170, 180)","(180, 144, 90), (180, 90, 124)","(90, 180, 99), (100, 90, 180)"
,Light Tan with Olive,Fair skin with a slight olive tint,"Cool Buff, Soft Olive","East Asia, South Europe","(200, 170, 140)","(200, 170, 140)","(140, 170, 200)","(200, 199, 140), (200, 140, 140)","(140, 200, 169), (170, 140, 200)"
Ultra Pale (0),Frosted Peach,Extremely pale with a soft peach tint,"Frosted Peach, Blush Mist","Scandinavia, Arctic Regions","(255, 240, 230)","(255, 240, 230)","(230, 245, 255)","(255, 252, 230), (255, 230, 232)","(230, 255, 239), (240, 230, 255)"
,Arctic Alabaster,Near-white with no visible warmth or pink hues,"Ice White, Arctic Alabaster","Arctic, Nordic Regions","(250, 250, 245)","(250, 250, 245)","(245, 245, 250)","(247, 250, 245), (250, 247, 245)","(245, 250, 249), (250, 245, 249)"
,Snow Glow,Pale with a cool blue undertone,"Icy Glow, Cool Mist","Northern Europe, Arctic","(240, 250, 250)","(240, 250, 250)","(250, 240, 240)","(240, 245, 250), (240, 250, 245)","(249, 240, 250), (249, 250, 240)"
Very Light (I),Cream Pearl,Very light tones with subtle creamy undertones,"Cream Pearl, Ivory Beige",Northern Europe,"(245, 235, 225)","(245, 235, 225)","(225, 235, 245)","(245, 244, 225), (245, 225, 225)","(225, 245, 234), (235, 225, 245)"
,Porcelain Pink,Pale with a stronger pink base,"Rosy Ivory, Soft Rose","Northern Europe, East Asia","(255, 220, 215)","(255, 220, 215)","(215, 250, 255)","(255, 239, 215), (255, 215, 229)","(215, 255, 219), (220, 215, 255)"
,Warm Sand,Light ivory tones with subtle golden warmth,"Pale Sand, Golden Ivory","Eastern Europe, Mediterranean","(255, 230, 210)","(255, 230, 210)","(210, 235, 255)","(255, 252, 210), (255, 210, 212)","(210, 255, 229), (230, 210, 255)"
Light (II),Rose Gold,Fair skin with a mix of warm gold and pink,"Rose Beige, Golden Pink","Western Europe, North America","(245, 215, 200)","(245, 215, 200)","(200, 230, 245)","(245, 237, 200), (245, 200, 207)","(200, 245, 214), (215, 200, 245)"
,Honey Buff,Beige tones with a soft honey warmth,"Light Honey, Golden Beige","North America, Australia","(240, 220, 190)","(240, 220, 190)","(190, 209, 240)","(235, 240, 190), (240, 195, 190)","(190, 240, 219), (220, 190, 240)"
,Apricot Beige,Light skin with a soft apricot tone,"Apricot Glow, Peach Beige","Southern Europe, Mediterranean","(250, 210, 180)","(250, 210, 180)","(180, 220, 250)","(250, 244, 180), (250, 180, 184)","(180, 250, 209), (210, 180, 250)"
Medium-Light (IIa),Sandstone,Beige tones with a deeper sandy hue,"Light Sandstone, Desert Glow","Mediterranean, Middle East","(220, 190, 160)","(220, 190, 160)","(160, 190, 220)","(220, 219, 160), (220, 160, 160)","(160, 220, 189), (190, 160, 220)"
