Product_ID,Product_Type,Skin_Tone_Category,Undertone,Product_Shade_Name,RGB_Value,HSV_Value
1,Foundation,Light,Cool,Ivory Frost,"(250, 240, 230)","(30, 8, 98)"
2,Foundation,Light,Warm,Golden Glow,"(255, 235, 205)","(40, 20, 100)"
3,Foundation,Medium,Neutral,Beige Sand,"(210, 180, 140)","(34, 33, 82)"
4,Foundation,Medium,Warm,Honey Beige,"(233, 175, 122)","(25, 48, 91)"
5,Foundation,Medium,Cool,Olive Tan,"(191, 172, 143)","(36, 25, 75)"
6,Foundation,Dark,Warm,Caramel Bronze,"(139, 69, 19)","(25, 86, 55)"
7,Foundation,Dark,Cool,Espresso Rich,"(97, 54, 44)","(11, 55, 38)"
8,Foundation,Dark,Neutral,Deep Mocha,"(123, 63, 0)","(30, 100, 48)"
9,Foundation,Light,Neutral,Porcelain Beige,"(255, 239, 213)","(40, 16, 100)"
10,Foundation,Dark,Warm,Chestnut Glow,"(149, 69, 53)","(10, 64, 58)"
11,Foundation,Medium,Warm,Amber Tan,"(205, 133, 63)","(30, 69, 80)"
12,Foundation,Dark,Cool,Mahogany Rich,"(80, 35, 30)","(9, 63, 31)"
13,Blush,Light,Cool,Rosy Pink,"(255, 182, 193)","(350, 29, 100)"
14,Blush,Light,Warm,Peach Bloom,"(255, 200, 180)","(20, 29, 100)"
15,Blush,Medium,Neutral,Soft Coral,"(240, 128, 128)","(0, 47, 94)"
16,Blush,Medium,Warm,Peach Glow,"(255, 160, 122)","(16, 52, 100)"
17,Blush,Medium,Cool,Berry Blush,"(205, 92, 92)","(0, 55, 80)"
18,Blush,Dark,Warm,Golden Apricot,"(255, 140, 0)","(39, 100, 100)"
19,Blush,Dark,Cool,Deep Plum,"(102, 0, 102)","(300, 100, 40)"
20,Blush,Dark,Neutral,Terracotta,"(204, 102, 0)","(30, 100, 80)"
21,Blush,Medium,Warm,Sunset Bronze,"(255, 102, 0)","(20, 100, 100)"
22,Blush,Light,Neutral,Petal Pink,"(255, 182, 185)","(355, 29, 100)"
23,Lipstick,Light,Warm,Coral Bliss,"(255, 127, 80)","(16, 69, 100)"
24,Lipstick,Light,Cool,Soft Rose,"(255, 192, 203)","(350, 25, 100)"
25,Lipstick,Medium,Neutral,Mauve Magic,"(224, 176, 255)","(275, 31, 100)"
26,Lipstick,Medium,Warm,Burnt Sienna,"(233, 116, 81)","(14, 65, 91)"
27,Lipstick,Medium,Cool,Berry Crush,"(139, 0, 139)","(300, 100, 55)"
28,Lipstick,Dark,Warm,Ruby Red,"(155, 17, 30)","(355, 89, 61)"
29,Lipstick,Dark,Cool,Violet Plum,"(148, 0, 211)","(282, 100, 83)"
30,Lipstick,Dark,Neutral,Chocolate Cherry,"(102, 51, 51)","(0, 50, 40)"
31,Lipstick,Medium,Warm,Spiced Rum,"(150, 75, 0)","(30, 100, 59)"
32,Lipstick,Light,Cool,Frosted Berry,"(200, 162, 200)","(300, 19, 78)"
33,Eyeshadow,Light,Neutral,Champagne Shimmer,"(250, 250, 210)","(60, 16, 98)"
34,Eyeshadow,Light,Cool,Lavender Mist,"(230, 230, 250)","(240, 8, 98)"
35,Eyeshadow,Medium,Warm,Golden Bronze,"(205, 127, 50)","(35, 76, 80)"
36,Eyeshadow,Medium,Cool,Smokey Teal,"(54, 117, 136)","(195, 60, 53)"
